Count,Average Sample Interval,Average Typename,Edge Response Bytes Sum,Number of Visits,Sum's Typename,Dimensions Metric,Dimensions' Typename,Typename
7576060,5.154585306146331,ZoneHttpRequestsAdaptiveGroupsAvg,46881454008,323656,ZoneHttpRequestsAdaptiveGroupsSum,US,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1211760,5.010771985394759,ZoneHttpRequestsAdaptiveGroupsAvg,7993527300,163868,ZoneHttpRequestsAdaptiveGroupsSum,CA,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1019588,5.015362063622456,ZoneHttpRequestsAdaptiveGroupsAvg,8666027940,175124,ZoneHttpRequestsAdaptiveGroupsSum,GB,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
674300,4.998887982800801,ZoneHttpRequestsAdaptiveGroupsAvg,6215246892,13636,ZoneHttpRequestsAdaptiveGroupsSum,AU,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
641044,5.232029904589343,ZoneHttpRequestsAdaptiveGroupsAvg,4248068000,27512,ZoneHttpRequestsAdaptiveGroupsSum,DE,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
353480,4.70716701733827,ZoneHttpRequestsAdaptiveGroupsAvg,3169077000,86624,ZoneHttpRequestsAdaptiveGroupsSum,FR,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
336012,4.968607213095361,ZoneHttpRequestsAdaptiveGroupsAvg,1944203096,7336,ZoneHttpRequestsAdaptiveGroupsSum,IN,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
225156,5.226583718285012,ZoneHttpRequestsAdaptiveGroupsAvg,1428070736,11924,ZoneHttpRequestsAdaptiveGroupsSum,SE,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
187768,5.071795148830425,ZoneHttpRequestsAdaptiveGroupsAvg,1256251000,12504,ZoneHttpRequestsAdaptiveGroupsSum,FI,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
186476,5.266642189397577,ZoneHttpRequestsAdaptiveGroupsAvg,1324443476,10432,ZoneHttpRequestsAdaptiveGroupsSum,NL,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
150412,5.2617365143776675,ZoneHttpRequestsAdaptiveGroupsAvg,970352892,2864,ZoneHttpRequestsAdaptiveGroupsSum,BR,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
141768,5.148647176321046,ZoneHttpRequestsAdaptiveGroupsAvg,716758012,2496,ZoneHttpRequestsAdaptiveGroupsSum,IL,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
137120,5.151981965057298,ZoneHttpRequestsAdaptiveGroupsAvg,598885952,2308,ZoneHttpRequestsAdaptiveGroupsSum,TR,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
122772,5.217901313272982,ZoneHttpRequestsAdaptiveGroupsAvg,725662848,4256,ZoneHttpRequestsAdaptiveGroupsSum,ES,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
120200,5.5261827042434835,ZoneHttpRequestsAdaptiveGroupsAvg,638990608,2832,ZoneHttpRequestsAdaptiveGroupsSum,PL,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
120104,5.018133199632322,ZoneHttpRequestsAdaptiveGroupsAvg,904694104,13732,ZoneHttpRequestsAdaptiveGroupsSum,SG,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
119132,5.096992256021905,ZoneHttpRequestsAdaptiveGroupsAvg,697333952,3060,ZoneHttpRequestsAdaptiveGroupsSum,IT,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
113708,5.1859892365228495,ZoneHttpRequestsAdaptiveGroupsAvg,495966640,1568,ZoneHttpRequestsAdaptiveGroupsSum,PT,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
109960,5.093098656785549,ZoneHttpRequestsAdaptiveGroupsAvg,799927872,8672,ZoneHttpRequestsAdaptiveGroupsSum,IE,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
106380,5.252295842796484,ZoneHttpRequestsAdaptiveGroupsAvg,534757864,4896,ZoneHttpRequestsAdaptiveGroupsSum,JP,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
91856,5.352913752913753,ZoneHttpRequestsAdaptiveGroupsAvg,516293600,2540,ZoneHttpRequestsAdaptiveGroupsSum,NO,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
88628,5.29818268770923,ZoneHttpRequestsAdaptiveGroupsAvg,481852356,920,ZoneHttpRequestsAdaptiveGroupsSum,KR,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
86408,5.312184925611706,ZoneHttpRequestsAdaptiveGroupsAvg,512196656,1948,ZoneHttpRequestsAdaptiveGroupsSum,DK,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
73752,5.099709583736689,ZoneHttpRequestsAdaptiveGroupsAvg,368728252,1108,ZoneHttpRequestsAdaptiveGroupsSum,ZA,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
72588,5.111111111111111,ZoneHttpRequestsAdaptiveGroupsAvg,446464336,2984,ZoneHttpRequestsAdaptiveGroupsSum,PH,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
71200,5.081358835284043,ZoneHttpRequestsAdaptiveGroupsAvg,389467836,1716,ZoneHttpRequestsAdaptiveGroupsSum,MX,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
70124,5.088455119367245,ZoneHttpRequestsAdaptiveGroupsAvg,411703560,1540,ZoneHttpRequestsAdaptiveGroupsSum,NZ,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
69980,5.37109524905979,ZoneHttpRequestsAdaptiveGroupsAvg,356554148,1312,ZoneHttpRequestsAdaptiveGroupsSum,GR,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
63632,5.264063534083388,ZoneHttpRequestsAdaptiveGroupsAvg,394960520,2116,ZoneHttpRequestsAdaptiveGroupsSum,BE,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
49780,5.218576370688751,ZoneHttpRequestsAdaptiveGroupsAvg,269301116,1856,ZoneHttpRequestsAdaptiveGroupsSum,HK,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
46572,5.385291396854764,ZoneHttpRequestsAdaptiveGroupsAvg,286488488,1112,ZoneHttpRequestsAdaptiveGroupsSum,RO,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
46248,5.792585170340681,ZoneHttpRequestsAdaptiveGroupsAvg,218834744,816,ZoneHttpRequestsAdaptiveGroupsSum,MY,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
45228,5.148321001707456,ZoneHttpRequestsAdaptiveGroupsAvg,271610576,1248,ZoneHttpRequestsAdaptiveGroupsSum,AT,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
44780,5.331587093701631,ZoneHttpRequestsAdaptiveGroupsAvg,246023276,1172,ZoneHttpRequestsAdaptiveGroupsSum,CH,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
41600,4.99279884781565,ZoneHttpRequestsAdaptiveGroupsAvg,222040520,1008,ZoneHttpRequestsAdaptiveGroupsSum,ID,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
39220,5.063912201420271,ZoneHttpRequestsAdaptiveGroupsAvg,198024216,696,ZoneHttpRequestsAdaptiveGroupsSum,AE,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
38652,5.227481741952935,ZoneHttpRequestsAdaptiveGroupsAvg,195663032,828,ZoneHttpRequestsAdaptiveGroupsSum,EG,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
38144,4.86903242277253,ZoneHttpRequestsAdaptiveGroupsAvg,332631552,5072,ZoneHttpRequestsAdaptiveGroupsSum,RU,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
37140,5.027070925825663,ZoneHttpRequestsAdaptiveGroupsAvg,172479536,724,ZoneHttpRequestsAdaptiveGroupsSum,TH,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
36888,5.21090549512643,ZoneHttpRequestsAdaptiveGroupsAvg,195377512,1052,ZoneHttpRequestsAdaptiveGroupsSum,SA,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
36040,5.310151760719021,ZoneHttpRequestsAdaptiveGroupsAvg,184115188,964,ZoneHttpRequestsAdaptiveGroupsSum,LT,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
32812,5.1413350047007205,ZoneHttpRequestsAdaptiveGroupsAvg,149059984,672,ZoneHttpRequestsAdaptiveGroupsSum,CL,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
30952,5.0043654001616815,ZoneHttpRequestsAdaptiveGroupsAvg,146354884,832,ZoneHttpRequestsAdaptiveGroupsSum,CO,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
30756,5.278187746696413,ZoneHttpRequestsAdaptiveGroupsAvg,186532136,896,ZoneHttpRequestsAdaptiveGroupsSum,CZ,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
28312,5.305847076461769,ZoneHttpRequestsAdaptiveGroupsAvg,140797408,548,ZoneHttpRequestsAdaptiveGroupsSum,RS,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
24984,5.19742042854171,ZoneHttpRequestsAdaptiveGroupsAvg,163440728,528,ZoneHttpRequestsAdaptiveGroupsSum,BG,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
24272,5.192982456140351,ZoneHttpRequestsAdaptiveGroupsAvg,153452596,664,ZoneHttpRequestsAdaptiveGroupsSum,AR,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
23992,4.751832045949693,ZoneHttpRequestsAdaptiveGroupsAvg,176188968,348,ZoneHttpRequestsAdaptiveGroupsSum,IR,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
23388,4.699216395418927,ZoneHttpRequestsAdaptiveGroupsAvg,755677708,9824,ZoneHttpRequestsAdaptiveGroupsSum,UA,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
